Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
168;2;1;0.645040773817467;0.1833369538678394;3;5;1;no;0.9673229287167956
169;2;1;0.19803755675477552;0.22874687737904295;8;5;2;no;0.9520268219225644
170;2;5;0.8488207072954161;0.18139384330757688;4;3;3;no;0.9526215167763668
171;2;1;0.7599202551371621;0.1749630028909872;10;5;3;no;0.9481075513872322
172;2;3;0.5932485486559472;0.10127380760302464;4;5;1;no;0.9575382175591145
173;1;5;0.7222260005045743;0.04771885592208122;1;5;2;no;0.9537062577268643
174;2;3;0.9476488200538752;0.2557742462600936;7;7;3;no;0.9629239756503516
175;2;5;0.3497972778576284;0.08823710815757689;9;5;2;yes;0.957162097921438
176;1;1;0.9564236491047794;0.13483166382773526;7;5;3;no;0.9616123118069995
177;2;5;0.4657171760241564;0.05103161110287541;6;3;3;yes;0.9582602787860669
178;2;3;0.9776062440877346;0.2807077683442276;4;7;2;no;0.9411360589565375
179;1;5;0.08690084739388415;0.056318208875335236;3;5;3;no;0.9628648329559082
180;2;5;0.445085517100581;0.09151367293088743;6;5;3;yes;0.9563141980952382
181;1;5;0.7489999228249212;0.27629268093471376;2;3;1;no;0.9463931073731723
182;2;5;0.8385482041160479;0.24788856102337667;11;3;3;yes;0.9671151412110783
183;1;1;0.4203373561111138;0.12945017631463;9;7;1;yes;0.9544950610604105
184;2;5;0.3786177864151866;0.037762153883648265;4;3;3;yes;0.9632769072608044
185;1;5;0.1418380416350874;0.13638754319434998;11;5;2;yes;0.9477023365199326
186;2;3;0.580975544044548;0.09034714266190001;12;5;2;no;0.9422858111412337
187;2;5;0.8165446930987166;0.24745581055874274;11;5;2;yes;0.9661250806732596
188;1;5;0.3580933274947866;0.22890067180711512;10;3;1;no;0.9539908902027306
189;1;1;0.8155382006115697;0.21375344041431105;5;5;1;yes;0.9629864041634529
190;1;3;0.6718778255308052;0.030313446596171096;12;3;1;no;0.957548318160213
191;1;5;0.5647656839951778;0.1719383808258768;4;3;3;no;0.9507501094173595
192;1;3;0.6519375898000025;0.05322817275693523;7;3;1;no;0.9647901832302592
193;1;1;0.9678961241991159;0.061299921882948145;7;7;3;no;0.9429141650353764
194;2;3;0.7048753121425283;0.0439553066309574;10;5;1;no;0.9541666817552917
195;2;5;0.23297400009087743;0.15532335431883418;6;5;3;no;0.9479245958239189
196;2;1;0.06814222858353336;0.17299629636962752;9;3;2;no;0.9415960083482874
197;1;5;0.37505135168069703;0.2663748637309635;2;5;2;yes;0.9408186341193949
198;2;5;0.8913600792177182;0.0349406212630003;13;3;1;no;0.9460278074332071
199;2;5;0.7235020317538583;0.17160225087620365;4;7;3;yes;0.9437057932778888
200;1;5;0.6580302558373986;0.1910015101784805;2;3;2;yes;0.9614944458779067
